SESSION;;;;;;;;;;;
Team Name;SSF;;;;;;;;;;
Start List Name;Boysen;;;;;;;;;;
Session #;33;;;;;;;;;;
Date;08/30/17;;;;;;;;;;
Time;7:49 fm;;;;;;;;;;
Event;SL;;;;;;;;;;
Hill;Treble Cone;;;;;;;;;;
Snow conditions;Hard;;;;;;;;;;
Weather;;;;;;;;;;;
Bib#;Name;YOB;Class;Gender;Start Time;Finish Time;Split 1;Split 2;Split 3;Status;SEQ
88;Matts;0;UNK;Male;10:18:25.801 AM;28,024;17,2;0;0;;13
88;Matts;0;UNK;Male;9:50:52.573 AM;28,095;17,11;0;0;;12
15;Tim Jitloff;0;UNK;Male;9:48:19.408 AM;28,057;17,072;0;0;;11
1;Andre;0;UNK;Male;9:29:32.160 AM;27,98;16,954;0;0;;10
88;Matts;0;UNK;Male;9:28:29.195 AM;28,56;17,303;0;0;;9
15;Tim Jitloff;0;UNK;Male;9:12:59.005 AM;28,319;17,049;0;0;;8
1;Andre;0;UNK;Male;9:10:47.118 AM;28,121;17,183;0;0;;7
15;Tim Jitloff;0;UNK;Male;8:59:07.361 AM;4029,385;16,988;0;0;;6
88;Matts;0;UNK;Male;8:54:08.183 AM;28,175;17,179;0;0;;5
1;Andre;0;UNK;Male;8:45:41.672 AM;28,037;17,06;0;0;;4
88;Matts;0;UNK;Male;8:39:12.674 AM;28,252;17,186;0;0;;3
15;Tim Jitloff;0;UNK;Male;8:31:24.212 AM;42,286;17,286;0;0;;2
